event_id,attendees
2026-02-11-Container Days London,attendees:1000
2025-09-10-devopsdays Vilnius,attendees:700
2026-02-03-Cloud Native Days France 2026,attendees:2000
2026-03-23-CloudFest,attendees:10000
2025-07-08-DevBCN,attendees:800
2026-06-16-DevBCN,attendees:800
2026-04-22-Devoxx France 2026,attendees:4600
2026-06-17-Devoxx Poland,attendees:2700
2026-06-17-Devoxx Poland,attendees:2700
2026-05-06-Devoxx UK 2026,attendees:1200
2026-04-23-Devoxx Greece,attendees:1200
2026-07-06-Riviera Dev,attendees:700
2026-07-02-Sunny Tech,attendees:550
2026-06-11-DevLille 2026,attendees:1500
